"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Apple says iPhone 7 video is as good as a movie camera https://t.co/hpdrgtmY6P #iphone7",FALSE,0,NA,2016-12-07 08:00:49,FALSE,NA,"806408105189842944",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","jamesatcoywood",0,FALSE,FALSE,NA,NA
"2","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-07 07:53:45,FALSE,NA,"806406329543880704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RRRE0712Yui_",459,TRUE,FALSE,NA,NA
"3","#iphoneography - #iphone7 camera is <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> even with the reduced upload quality. Money well spent <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> https://t.co/Wo8lobWEWP",FALSE,0,NA,2016-12-07 06:54:22,FALSE,NA,"806391382386606080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bethcvale",0,FALSE,FALSE,NA,NA
"4","We sent the #iPhone7 to our test lab to see if it's rocking the best smartphone camera ever. Here's what we found:… https://t.co/n7mzhcEapT",FALSE,0,NA,2016-12-07 06:30:23,TRUE,NA,"806385346573455360",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","WhichTech",0,FALSE,FALSE,NA,NA
"5","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-07 06:12:25,FALSE,NA,"806380827798016000",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","karenmkmh",459,TRUE,FALSE,NA,NA
"6","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-07 05:53:37,FALSE,NA,"806376095876530177",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kny_nn1027",459,TRUE,FALSE,NA,NA
"7","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-07 04:18:50,FALSE,NA,"806352242794082304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AYA37047267",459,TRUE,FALSE,NA,NA
"8","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-07 04:05:26,FALSE,NA,"806348869000773632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","___Micks",459,TRUE,FALSE,NA,NA
"9","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-07 04:03:12,FALSE,NA,"806348309929422848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","project_yuto",459,TRUE,FALSE,NA,NA
"10","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-07 03:58:49,FALSE,NA,"806347202855481344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AM_prtr",459,TRUE,FALSE,NA,NA
"11","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-07 03:56:58,FALSE,NA,"806346740383105024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","a_ayumu_i",459,TRUE,FALSE,NA,NA
"12","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-07 01:10:59,FALSE,NA,"806304969460584448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ho6na3",459,TRUE,FALSE,NA,NA
"13","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-07 00:48:52,FALSE,NA,"806299402973233152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ex_fam2403",459,TRUE,FALSE,NA,NA
"14","#Apple says #iPhone7 video is as good as a movie camera https://t.co/GsbL5ak2xq #UX",FALSE,0,NA,2016-12-06 23:52:12,FALSE,NA,"806285143547650049",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ZappyZappy7",0,FALSE,FALSE,NA,NA
"15","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 23:30:56,FALSE,NA,"806279789841551360",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ex_3jsb_gene381",459,TRUE,FALSE,NA,NA
"16","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 23:09:54,FALSE,NA,"806274496676052992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","c_ex_3jsb_gene",459,TRUE,FALSE,NA,NA
"17","RT @TheCarlosPena: anyone staying up tonight to pre order #iphone7 ? Need that new camera for when baby Ocean comes!",FALSE,0,NA,2016-12-06 22:53:34,FALSE,NA,"806270385230585856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rusher4ever2345",929,TRUE,FALSE,NA,NA
"18","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 22:41:05,FALSE,NA,"806267243382247425",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","miumi_yuto",459,TRUE,FALSE,NA,NA
"19","New #iphone7 camera is <ed><U+00A0><U+00BD><ed><U+00B2><U+00A6> #instrumental #organic #wemakemusic #trapjazz #producergrind… https://t.co/UxV4iBlRXa",FALSE,0,NA,2016-12-06 22:22:20,FALSE,NA,"806262525767647236",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","TheLetterLBeats",0,FALSE,FALSE,NA,NA
"20","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 21:45:40,FALSE,NA,"806253299133386752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AirGullveig",459,TRUE,FALSE,NA,NA
"21","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 21:42:47,FALSE,NA,"806252571182526464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","0306Mao0306",459,TRUE,FALSE,NA,NA
"22","RT @Angiecre8: Finished #painting?
Then took #photo with #iphone7 #camera &amp; got a fresh perspective on #ipadscreen
Amazing tools 4 #artists…",FALSE,0,NA,2016-12-06 21:41:50,FALSE,NA,"806252334091112448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","yeisato",24,TRUE,FALSE,NA,NA
"23","Apple Releases New ‘Romeo and Juliet’ Ad Highlighting iPhone #virtualreality #iphone7 https://t.co/mFiCqQWt2l https://t.co/IEM7X2ybM8",FALSE,1,NA,2016-12-06 20:50:21,FALSE,NA,"806239378255314944",NA,"<a href=""http://www.socialcloudsuite.com"" rel=""nofollow"">SocialCloudSuite</a>","ihnich_adil",0,FALSE,FALSE,NA,NA
"24","RT @Angiecre8: Finished #painting?
Then took #photo with #iphone7 #camera &amp; got a fresh perspective on #ipadscreen
Amazing tools 4 #artists…",FALSE,0,NA,2016-12-06 20:48:27,FALSE,NA,"806238898246615040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BakCetin",24,TRUE,FALSE,NA,NA
"25","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 16:28:59,FALSE,NA,"806173603792158721",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","omi_LDHshi",459,TRUE,FALSE,NA,NA
"26","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 16:12:51,FALSE,NA,"806169542032400384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","3mansel",459,TRUE,FALSE,NA,NA
"27","RT @Shoji_NY: Micks took this picture and I was surprised about quality of iPhone 7's camera<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>
#projecttaro #iphone7 #<U+767D><U+9ED2> #<U+753B><U+8CEA> # https://t.co…",FALSE,0,NA,2016-12-06 15:14:14,FALSE,NA,"806154791088832513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ItsMe_AMNB",459,TRUE,FALSE,NA,NA
